n,sum_radii,max_violation,seeds,feasible
2,0.585786437625,-1.00e-12,1,1
3,0.796287456145,-1.00e-12,1,1
4,1.006788474665,-1.00e-12,1,1
5,1.103553390588,-1.00e-12,1,1
6,1.202838910866,-1.00e-12,1,1
7,1.306546350750,-1.00e-12,1,1
8,1.423813915310,-1.00e-12,1,1
9,1.524365359362,-1.00e-12,1,1
10,1.591012852624,-1.00e-12,1,1
12,1.765978318157,-1.00e-12,1,1
11,1.680058380768,-1.00e-12,1,1
14,1.905667205282,-1.00e-12,1,1
15,1.980266508429,-1.00e-12,1,1
13,1.829542411678,-1.00e-12,1,1
17,2.111185327811,-1.00e-12,1,1
16,2.053080418423,-1.00e-12,1,1
18,2.178530295951,-1.00e-12,1,1
21,2.362117319354,-1.00e-12,1,1
19,2.236704571275,-1.00e-12,1,1
22,2.420202649726,-1.00e-12,1,1
24,2.530311586947,-1.00e-12,1,1
25,2.584877308948,-1.00e-12,1,1
23,2.478013611940,-1.00e-12,1,1
20,2.301122834478,-1.00e-12,1,1
29,2.790344154597,-1.00e-12,1,1
30,2.839076886723,-1.00e-12,1,1
26,2.632341639574,-1.00e-12,1,1
31,2.889969851901,-1.00e-12,1,1
33,2.987285008558,-1.00e-12,1,1
32,2.934345259484,-1.00e-12,1,1
28,2.734376375373,-1.00e-12,1,1
27,2.685978684198,-1.00e-12,1,1
38,3.201715444374,-1.00e-12,1,1
35,3.069785256587,-1.00e-12,1,1
34,3.028820435508,-1.00e-12,1,1
36,3.119346633076,-1.00e-12,1,1
39,3.245477676714,-1.00e-12,1,1
40,3.282243484920,-1.00e-12,1,1
41,3.329885167969,-1.00e-12,1,1
37,3.153209812599,-1.00e-12,1,1
44,3.458969451910,-1.00e-12,1,1
47,3.573166865286,-1.00e-12,1,1
43,3.414885936659,-1.00e-12,1,1
45,3.490333347825,-1.00e-12,1,1
46,3.530708785746,-1.00e-12,1,1
42,3.371532755457,-1.00e-12,1,1
49,3.641888355562,-1.00e-12,1,1
48,3.607697665380,-1.00e-12,1,1
50,3.677209597865,-1.00e-12,1,1
53,3.782635727068,-1.00e-12,1,1
51,3.707062557220,-1.00e-12,1,1
54,3.837429442972,-1.14e-12,1,1
52,3.745450859102,-1.01e-12,1,1
56,3.893414945467,-1.01e-12,1,1
55,3.865808009296,-1.00e-12,1,1
57,3.926355688142,-1.04e-12,1,1
60,4.028298758506,-1.00e-12,1,1
61,4.061338750929,-1.00e-12,1,1
58,3.972151718841,-1.01e-12,1,1
62,4.098572038424,-1.01e-12,1,1
64,4.170101975035,-1.00e-12,1,1
63,4.126890569675,-1.00e-12,1,1
65,4.192762956220,-1.00e-12,1,1
59,4.000008234949,-1.00e-12,1,1
66,4.213022651914,-1.03e-12,1,1
68,4.271030750807,-1.01e-12,1,1
69,4.317324317844,-1.00e-12,1,1
72,4.402529171793,-1.01e-12,1,1
71,4.364597485812,-1.00e-12,1,1
73,4.443739647778,-1.00e-12,1,1
70,4.362867125107,-1.02e-12,1,1
67,4.245539015147,-1.02e-12,1,1
75,4.494874764535,-1.09e-12,1,1
74,4.464724261089,-1.00e-12,1,1
77,4.563462228172,-1.14e-12,1,1
76,4.541912858167,-1.01e-12,1,1
80,4.636337078841,-1.02e-12,1,1
78,4.587975593449,-1.22e-12,1,1
79,4.628324499515,-1.00e-12,1,1
81,4.658039013500,-1.00e-12,1,1
83,4.713753480733,-1.07e-12,1,1
84,4.757604602928,-1.01e-12,1,1
82,4.689051363493,-1.01e-12,1,1
86,4.795334413354,-1.00e-12,1,1
85,4.789949847635,-1.01e-12,1,1
89,4.897376483768,-1.59e-12,1,1
87,4.822182640315,-1.13e-12,1,1
88,4.864318238432,-1.01e-12,1,1
91,4.948204573722,-1.01e-12,1,1
92,4.927393452310,-1.36e-12,1,1
94,5.022505158192,-1.10e-12,1,1
93,5.002331865824,-1.01e-12,1,1
90,4.913082347115,-1.00e-12,1,1
95,5.041438229866,-2.00e-12,1,1
96,5.076795981428,-1.01e-12,1,1
97,0.000000000000,0.00e+00,1,1
99,5.124025687284,-1.10e-12,1,1
98,5.118880297139,-1.85e-12,1,1
100,5.158057714559,-2.00e-12,1,1
